2003/2/23,3001,11
2003/2/27,3002,12
2003/3/2,3003,16
2003/3/6,3004,3
2003/3/9,3005,16
2003/3/13,3006,6
2003/3/16,3007,7
2003/3/20,3008,8
2003/3/23,3009,9
2003/3/27,3010,13
2003/3/30,3011,15
2003/4/3,3012,12
2003/4/6,3013,12
2003/4/10,3014,2
2003/4/13,3015,13
2003/4/17,3016,6
2003/4/20,3017,6
2003/4/24,3018,2
2003/4/27,3019,9
2003/5/1,3020,4
2003/5/4,3021,1
2003/5/8,3022,6
2003/5/11,3023,2
2003/5/15,3024,14
2003/5/18,3025,12
2003/5/22,3026,16
2003/5/25,3027,15
2003/5/29,3028,7
2003/6/1,3029,10
2003/6/5,3030,7
2003/6/8,3031,1
2003/6/12,3032,13
2003/6/15,3033,10
2003/6/19,3034,14
2003/6/22,3035,8
2003/6/26,3036,15
2003/6/29,3037,7
2003/7/3,3038,16
2003/7/6,3039,3
2003/7/10,3040,16
2003/7/13,3041,11
2003/7/17,3042,7
2003/7/20,3043,13
2003/7/24,3044,15
2003/7/27,3045,3
2003/7/31,3046,11
2003/8/3,3047,16
2003/8/7,3048,9
2003/8/10,3049,15
2003/8/14,3050,13
2003/8/17,3051,1
2003/8/21,3052,11
2003/8/24,3053,13
2003/8/28,3054,12
2003/8/31,3055,16
2003/9/4,3056,7
2003/9/7,3057,16
2003/9/11,3058,2
2003/9/14,3059,4
2003/9/18,3060,11
2003/9/21,3061,2
2003/9/25,3062,14
2003/9/28,3063,11
2003/10/2,3064,1
2003/10/5,3065,11
2003/10/9,3066,14
2003/10/12,3067,10
2003/10/16,3068,11
2003/10/19,3069,11
2003/10/23,3070,8
2003/10/26,3071,11
2003/10/30,3072,11
2003/11/2,3073,13
2003/11/6,3074,1
2003/11/9,3075,11
2003/11/13,3076,2
2003/11/16,3077,6
2003/11/20,3078,11
2003/11/23,3079,4
2003/11/27,3080,10
2003/11/30,3081,7
2003/12/4,3082,14
2003/12/7,3083,1
2003/12/11,3084,3
2003/12/14,3085,14
2003/12/18,3086,13
2003/12/21,3087,13
2003/12/25,3088,12
2003/12/28,3089,16
2004/1/1,4001,7
2004/1/4,4002,11
2004/1/8,4003,8
2004/1/11,4004,9
2004/1/15,4005,7
2004/1/18,4006,6
2004/1/29,4007,9
2004/2/1,4008,13
2004/2/5,4009,11
2004/2/8,4010,15
2004/2/12,4011,3
2004/2/15,4012,8
2004/2/19,4013,13
2004/2/22,4014,12
2004/2/26,4015,13
2004/2/29,4016,5
2004/3/4,4017,9
2004/3/7,4018,6
2004/3/11,4019,4
2004/3/14,4020,4
2004/3/18,4021,10
2004/3/21,4022,6
2004/3/25,4023,3
2004/3/28,4024,6
2004/4/1,4025,4
2004/4/4,4026,15
2004/4/8,4027,11
2004/4/11,4028,12
